iter	Passed	Remaining
0	53	107001
1	54	54528
2	55	36751
3	55	27890
4	56	22615
5	57	19080
6	61	17570
7	62	15566
8	63	13980
9	63	12703
10	64	11701
11	65	10847
12	66	10140
13	67	9505
14	67	8954
15	68	8469
16	68	8045
17	69	7697
18	70	7354
19	71	7049
20	71	6770
21	72	6510
22	73	6276
23	73	6062
24	77	6106
25	77	5916
26	78	5738
27	79	5569
28	79	5424
29	80	5280
30	81	5176
31	82	5054
32	82	4935
33	83	4824
34	84	4720
35	84	4621
36	85	4527
37	85	4435
38	86	4351
39	87	4272
40	87	4195
41	88	4119
42	88	4048
43	89	3982
44	92	4027
45	93	3976
46	94	3920
47	95	3863
48	95	3807
49	96	3763
50	97	3712
51	97	3661
52	98	3613
53	98	3567
54	99	3521
55	100	3478
56	100	3438
57	101	3399
58	102	3360
59	102	3322
60	103	3284
61	103	3248
62	104	3212
63	105	3178
64	105	3147
65	107	3139
66	108	3119
67	109	3098
68	109	3071
69	110	3043
70	110	3014
71	111	2997
72	112	2975
73	113	2949
74	113	2925
75	114	2900
76	115	2876
77	115	2853
78	116	2829
79	116	2806
80	117	2785
81	118	2764
82	118	2741
83	119	2723
84	120	2703
85	120	2684
86	121	2664
87	121	2644
88	123	2643
89	123	2630
90	125	2623
91	125	2607
92	126	2590
93	126	2574
94	127	2558
95	128	2542
96	128	2526
97	129	2510
98	129	2496
99	130	2481
100	131	2467
101	131	2452
102	132	2439
103	133	2427
104	133	2414
105	134	2401
106	134	2387
107	135	2374
108	136	2361
109	136	2349
110	137	2336
111	137	2323
112	139	2322
113	140	2318
114	140	2308
115	141	2301
116	142	2294
117	143	2283
118	143	2273
119	144	2262
120	145	2252
121	145	2241
122	146	2231
123	146	2220
124	147	2210
125	148	2203
126	148	2195
127	149	2186
128	150	2176
129	150	2166
130	151	2157
131	151	2147
132	152	2138
133	152	2128
134	153	2119
135	156	2141
136	156	2134
137	157	2127
138	158	2118
139	158	2109
140	159	2101
141	159	2093
142	160	2084
143	161	2076
144	161	2068
145	162	2060
146	162	2052
147	163	2044
148	164	2037
149	164	2030
150	165	2023
151	165	2016
152	166	2008
153	166	2001
154	167	1994
155	168	1987
156	168	1979
157	169	1972
158	169	1965
159	171	1967
160	171	1964
161	172	1959
162	175	1974
163	175	1969
164	176	1962
165	177	1956
166	177	1949
167	178	1943
168	178	1937
169	179	1930
170	179	1924
171	180	1918
172	181	1912
173	181	1906
174	182	1901
175	182	1895
176	183	1889
177	183	1883
178	184	1877
179	185	1871
180	185	1865
181	187	1875
182	188	1875
183	189	1870
184	190	1865
185	190	1860
186	191	1854
187	191	1849
188	192	1844
189	193	1839
190	193	1834
191	194	1828
192	194	1823
193	195	1818
194	195	1813
195	196	1808
196	197	1803
197	197	1798
198	198	1793
199	198	1788
200	199	1783
201	199	1778
202	200	1774
203	200	1769
204	201	1765
205	202	1767
206	203	1766
207	204	1765
208	205	1764
209	206	1761
210	207	1758
211	208	1754
212	208	1749
213	209	1745
214	209	1741
215	210	1737
216	211	1733
217	211	1729
218	212	1725
219	212	1721
220	213	1717
221	213	1713
222	214	1709
223	215	1705
224	215	1700
225	216	1696
226	216	1692
227	217	1688
228	217	1684
229	218	1685
230	219	1683
231	220	1683
232	221	1681
233	222	1678
234	223	1675
235	223	1671
236	224	1667
237	224	1663
238	225	1660
239	225	1656
240	226	1652
241	227	1649
242	227	1645
243	228	1642
244	228	1638
245	229	1635
246	229	1631
247	230	1628
248	231	1625
249	231	1621
250	232	1618
251	232	1615
252	233	1612
253	235	1617
254	236	1616
255	237	1617
256	237	1614
257	238	1611
258	239	1607
259	239	1604
260	240	1601
261	240	1597
262	241	1594
263	242	1591
264	242	1588
265	243	1585
266	243	1582
267	244	1579
268	244	1576
269	245	1572
270	246	1569
271	246	1566
272	247	1563
273	247	1560
274	248	1556
275	248	1553
276	249	1550
277	249	1547
278	252	1556
279	253	1554
280	253	1552
281	254	1550
282	255	1547
283	255	1544
284	256	1541
285	256	1538
286	257	1536
287	257	1533
288	258	1530
289	259	1527
290	259	1524
291	260	1522
292	260	1519
293	261	1516
294	262	1514
295	262	1511
296	263	1509
297	263	1506
298	264	1503
299	264	1501
300	265	1498
301	267	1505
302	268	1503
303	269	1501
304	269	1498
305	270	1496
306	270	1493
307	271	1490
308	272	1488
309	272	1486
310	273	1483
311	273	1481
312	274	1478
313	274	1476
314	275	1473
315	276	1471
316	276	1468
317	277	1466
318	277	1463
319	278	1461
320	278	1458
321	279	1456
322	279	1453
323	280	1451
324	281	1448
325	281	1445
326	282	1446
327	283	1445
328	284	1444
329	285	1442
330	285	1441
331	286	1439
332	287	1437
333	287	1435
334	288	1432
335	288	1430
336	289	1428
337	290	1426
338	290	1424
339	291	1422
340	292	1422
341	292	1420
342	293	1418
343	294	1416
344	294	1413
345	295	1412
346	296	1410
347	296	1408
348	297	1406
349	298	1406
350	299	1405
351	300	1406
352	301	1405
353	302	1404
354	302	1402
355	303	1401
356	304	1399
357	304	1397
358	305	1395
359	305	1393
360	306	1391
361	307	1390
362	308	1389
363	308	1387
364	309	1385
365	309	1383
366	310	1381
367	310	1379
368	311	1376
369	312	1374
370	312	1372
371	313	1370
372	314	1370
373	315	1370
374	316	1369
375	316	1368
376	317	1367
377	318	1365
378	318	1364
379	319	1362
380	320	1360
381	320	1358
382	321	1356
383	321	1354
384	322	1353
385	323	1351
386	323	1349
387	324	1347
388	324	1345
389	325	1343
390	326	1341
391	326	1339
392	327	1337
393	327	1335
394	328	1333
395	328	1331
396	329	1329
397	330	1329
398	331	1328
399	332	1328
400	332	1327
401	333	1325
402	334	1323
403	334	1321
404	335	1320
405	335	1318
406	336	1316
407	336	1314
408	337	1312
409	338	1311
410	338	1309
411	339	1307
412	340	1306
413	340	1304
414	341	1303
415	341	1301
416	342	1299
417	342	1297
418	343	1295
419	343	1294
420	344	1292
421	345	1290
422	346	1290
423	346	1289
424	347	1288
425	348	1287
426	349	1286
427	349	1285
428	350	1283
429	351	1281
430	351	1280
431	352	1279
432	353	1277
433	353	1276
434	354	1274
435	355	1274
436	356	1273
437	357	1273
438	357	1272
439	358	1270
440	358	1268
441	359	1267
442	360	1265
443	360	1263
444	361	1262
445	363	1268
446	365	1268
447	365	1266
448	366	1265
449	366	1263
450	367	1261
451	367	1260
452	368	1258
453	369	1257
454	369	1255
455	370	1253
456	370	1252
457	371	1250
458	372	1249
459	372	1247
460	373	1246
461	373	1244
462	374	1243
463	375	1241
464	375	1239
465	376	1238
466	376	1236
467	377	1234
468	378	1235
469	379	1234
470	380	1233
471	380	1232
472	381	1231
473	381	1229
474	382	1227
475	383	1226
476	383	1224
477	384	1223
478	385	1222
479	385	1221
480	386	1219
481	386	1217
482	387	1216
483	387	1215
484	388	1213
485	388	1211
486	389	1210
487	390	1208
488	390	1207
489	391	1205
490	391	1203
491	392	1202
492	392	1200
493	393	1199
494	394	1198
495	395	1199
496	396	1198
497	396	1197
498	397	1196
499	398	1194
500	398	1193
501	399	1191
502	399	1190
503	400	1188
504	401	1187
505	401	1186
506	402	1184
507	402	1183
508	403	1181
509	404	1180
510	404	1178
511	405	1177
512	405	1175
513	406	1174
514	406	1173
515	407	1171
516	407	1170
517	408	1168
518	408	1167
519	410	1167
520	410	1166
521	411	1166
522	412	1165
523	413	1164
524	414	1163
525	414	1162
526	415	1161
527	416	1159
528	416	1158
529	417	1157
530	417	1155
531	418	1154
532	418	1153
533	419	1151
534	420	1150
535	420	1149
536	421	1147
537	421	1146
538	422	1144
539	422	1143
540	423	1142
541	424	1140
542	424	1139
543	425	1139
544	426	1139
545	427	1138
546	428	1137
547	428	1136
548	429	1134
549	429	1133
550	430	1132
551	431	1131
552	431	1129
553	432	1128
554	432	1127
555	433	1125
556	434	1124
557	434	1123
558	435	1122
559	436	1121
560	436	1120
561	437	1118
562	437	1117
563	438	1116
564	439	1115
565	439	1113
566	440	1112
567	440	1110
568	441	1110
569	442	1111
570	443	1110
571	444	1109
572	445	1108
573	445	1107
574	446	1105
575	446	1104
576	447	1103
577	447	1101
578	448	1100
579	449	1099
580	449	1098
581	450	1096
582	450	1095
583	451	1094
584	451	1092
585	452	1091
586	453	1090
587	453	1089
588	454	1088
589	454	1086
590	455	1085
591	455	1084
592	456	1083
593	457	1082
594	458	1082
595	459	1082
596	460	1081
597	460	1080
598	461	1079
599	461	1077
600	462	1076
601	463	1075
602	463	1074
603	464	1073
604	464	1072
605	465	1070
606	466	1069
607	466	1068
608	467	1067
609	467	1066
610	468	1064
611	468	1063
612	469	1062
613	470	1061
614	470	1059
615	471	1058
616	471	1057
617	472	1056
618	474	1057
