车辆id,年超载行驶次数范围,年超速行驶次数范围,年夜晚行驶次数范围,年异地行驶次数范围,年高速总里程范围,年高速行驶时间范围,平均单次出行里程范围,平均行驶速度范围,安全评分
1,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[64, 72)",80
2,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[10, 20)","[120, inf)","[56, 64)",35
3,"[0, 1)","[0, 1)","[5, 15)","[1, 10)","[2400, 4000)","[80, 140)","[120, inf)","[0, 56)",26
4,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[56, 64)",75
5,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[56, 64)",76
6,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[1200, 2400)","[20, 30)","[45, 55)","[56, 64)",80
7,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[600, 1200)","[10, 20)","[15, 25)","[0, 56)",70
8,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[0, 56)",87
9,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[72, 84)",49
10,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[56, 64)",86
11,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[56, 64)",88
12,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[84, inf)",83
13,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",48
14,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[0, 56)",67
15,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[84, inf)",55
16,"[0, 1)","[20, inf)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[35, 45)","[72, 84)",13
17,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[25, 35)","[0, 56)",77
18,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[1200, 2400)","[10, 20)","[120, inf)","[72, 84)",33
19,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[2400, 4000)","[45, 80)","[75, 120)","[84, inf)",29
20,"[0, 1)","[1, 12)","[1, 5)","[10, 20)","[600, 1200)","[0, 10)","[35, 45)","[72, 84)",67
21,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[56, 64)",77
22,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[56, 64)",80
23,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[1200, 2400)","[20, 30)","[45, 55)","[64, 72)",66
24,"[0, 1)","[20, inf)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[25, 35)","[0, 56)",10
25,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[120, inf)","[72, 84)",35
26,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[2400, 4000)","[30, 45)","[75, 120)","[72, 84)",37
27,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[64, 72)",83
28,"[0, 1)","[1, 12)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[64, 72)",11
29,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[72, 84)",78
30,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[64, 72)",87
31,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[75, 120)","[56, 64)",72
32,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[72, 84)",49
33,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[600, 1200)","[0, 10)","[75, 120)","[84, inf)",55
34,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[84, inf)",58
35,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[2400, 4000)","[45, 80)","[15, 25)","[64, 72)",53
36,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[75, 120)","[84, inf)",40
37,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",47
38,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[1200, 2400)","[30, 45)","[35, 45)","[56, 64)",79
39,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[1200, 2400)","[20, 30)","[55, 75)","[72, 84)",59
40,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[72, 84)",44
41,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[600, 1200)","[45, 80)","[25, 35)","[0, 56)",67
42,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[0, 56)",49
43,"[1, 10)","[12, 20)","[5, 15)","[20, inf)","[1200, 2400)","[30, 45)","[45, 55)","[72, 84)",23
44,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[64, 72)",80
45,"[1, 10)","[12, 20)","[5, 15)","[1, 10)","[4000, 10000)","[30, 45)","[120, inf)","[84, inf)",17
46,"[0, 1)","[20, inf)","[1, 5)","[0, 1)","[4000, 10000)","[80, 140)","[120, inf)","[84, inf)",9
47,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[72, 84)",58
48,"[0, 1)","[0, 1)","[15, inf)","[10, 20)","[1200, 2400)","[20, 30)","[35, 45)","[56, 64)",30
49,"[0, 1)","[1, 12)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[56, 64)",10
50,"[0, 1)","[20, inf)","[5, 15)","[1, 10)","[4000, 10000)","[80, 140)","[120, inf)","[84, inf)",26
51,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[55, 75)","[64, 72)",46
52,"[0, 1)","[1, 12)","[1, 5)","[20, inf)","[2400, 4000)","[20, 30)","[75, 120)","[72, 84)",51
53,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[64, 72)",48
54,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[120, inf)","[64, 72)",38
55,"[0, 1)","[20, inf)","[5, 15)","[0, 1)","[10000, inf)","[140, inf)","[120, inf)","[84, inf)",5
56,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[35, 45)","[72, 84)",86
57,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[1200, 2400)","[10, 20)","[120, inf)","[84, inf)",42
58,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[56, 64)",44
59,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[0, 56)",39
60,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[56, 64)",49
61,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[72, 84)",59
62,"[0, 1)","[20, inf)","[5, 15)","[0, 1)","[2400, 4000)","[30, 45)","[35, 45)","[84, inf)",49
