,,id,overload_min,overload_max,over_speed_min,over_speed_max,at_night_min,at_night_max,other_place_min,other_place_max,high_speed_dis_min,high_speed_dis_max,high_speed_time_min,high_speed_time_max,dis_avg_min,dis_avg_max,score
0,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,55,75.0,64,72.0,80
1,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,10,20.0,120,20.0,56,64.0,35
2,0,1.0,0,1.0,5,15.0,1,10.0,2400,4000.0,80,140.0,120,20.0,0,56.0,26
3,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,15,25.0,56,64.0,75
4,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,45,55.0,56,64.0,76
5,0,1.0,0,1.0,5,15.0,0,1.0,1200,2400.0,20,30.0,45,55.0,56,64.0,80
6,0,1.0,0,1.0,0,1.0,0,1.0,600,1200.0,10,20.0,15,25.0,0,56.0,70
7,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,15,25.0,0,56.0,87
8,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,15,25.0,72,84.0,49
9,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,15,25.0,56,64.0,86
10,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,25,35.0,56,64.0,88
11,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,15,25.0,84,120.0,83
12,0,1.0,0,1.0,1,5.0,1,10.0,0,600.0,0,10.0,25,35.0,64,72.0,48
13,0,1.0,1,12.0,0,1.0,0,1.0,0,600.0,0,10.0,0,15.0,0,56.0,67
14,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,0,15.0,84,84.0,55
15,0,1.0,20,98.0,15,98.0,20,98.0,10000,98.0,140,98.0,35,45.0,72,84.0,13
16,0,1.0,0,1.0,1,5.0,1,10.0,0,600.0,0,10.0,25,35.0,0,56.0,77
17,0,1.0,0,1.0,1,5.0,0,1.0,1200,2400.0,10,20.0,120,20.0,72,84.0,33
18,0,1.0,1,12.0,1,5.0,1,10.0,2400,4000.0,45,80.0,75,120.0,84,20.0,29
19,0,1.0,1,12.0,1,5.0,10,20.0,600,1200.0,0,10.0,35,45.0,72,84.0,67
20,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,25,35.0,56,64.0,77
21,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,45,55.0,56,64.0,80
22,0,1.0,1,12.0,1,5.0,0,1.0,1200,2400.0,20,30.0,45,55.0,64,72.0,66
23,0,1.0,20,10000.0,15,10000.0,20,10000.0,10000,10000.0,140,10000.0,25,35.0,0,56.0,10
24,0,1.0,0,1.0,0,1.0,1,10.0,0,600.0,0,10.0,120,10000.0,72,84.0,35
25,0,1.0,1,12.0,1,5.0,0,1.0,2400,4000.0,30,45.0,75,120.0,72,84.0,37
26,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,45,55.0,64,72.0,83
27,0,1.0,1,12.0,15,120.0,20,120.0,10000,120.0,140,120.0,120,120.0,64,72.0,11
28,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,75,120.0,72,84.0,78
29,0,1.0,0,1.0,5,15.0,0,1.0,0,600.0,0,10.0,35,45.0,64,72.0,87
30,0,1.0,0,1.0,1,5.0,0,1.0,600,1200.0,10,20.0,75,120.0,56,64.0,72
31,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,15,25.0,72,84.0,49
32,0,1.0,1,12.0,1,5.0,1,10.0,600,1200.0,0,10.0,75,120.0,84,20.0,55
33,0,1.0,1,12.0,0,1.0,0,1.0,0,600.0,0,10.0,120,20.0,84,20.0,58
34,0,1.0,1,12.0,5,15.0,0,1.0,2400,4000.0,45,80.0,15,25.0,64,72.0,53
35,0,1.0,0,1.0,0,1.0,1,10.0,0,600.0,0,10.0,75,120.0,84,15.0,40
36,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,25,35.0,64,72.0,47
37,0,1.0,0,1.0,5,15.0,0,1.0,1200,2400.0,30,45.0,35,45.0,56,64.0,79
38,0,1.0,1,12.0,1,5.0,0,1.0,1200,2400.0,20,30.0,55,75.0,72,84.0,59
39,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,120,10000.0,72,84.0,44
40,0,1.0,1,12.0,5,15.0,0,1.0,600,1200.0,45,80.0,25,35.0,0,56.0,67
41,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,15,25.0,0,56.0,49
42,1,10.0,12,20.0,5,15.0,20,140.0,1200,2400.0,30,45.0,45,55.0,72,84.0,23
43,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,55,75.0,64,72.0,80
44,1,10.0,12,20.0,5,15.0,1,10.0,4000,10000.0,30,45.0,120,120.0,84,120.0,17
45,0,1.0,20,84.0,1,5.0,0,1.0,4000,10000.0,80,140.0,120,84.0,84,84.0,9
46,0,1.0,1,12.0,1,5.0,0,1.0,0,600.0,0,10.0,55,75.0,72,84.0,58
47,0,1.0,0,1.0,15,98.0,10,20.0,1200,2400.0,20,30.0,35,45.0,56,64.0,30
48,0,1.0,1,12.0,15,20.0,20,20.0,10000,20.0,140,20.0,120,20.0,56,64.0,10
49,0,1.0,20,20.0,5,15.0,1,10.0,4000,10000.0,80,140.0,120,20.0,84,20.0,26
50,0,1.0,0,1.0,0,1.0,1,10.0,0,600.0,0,10.0,55,75.0,64,72.0,46
51,0,1.0,1,12.0,1,5.0,20,15.0,2400,4000.0,20,30.0,75,120.0,72,84.0,51
52,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,45,55.0,64,72.0,48
53,0,1.0,0,1.0,1,5.0,1,10.0,0,600.0,0,10.0,120,20.0,64,72.0,38
54,0,1.0,20,20.0,5,15.0,0,1.0,10000,20.0,140,20.0,120,20.0,84,20.0,5
55,0,1.0,0,1.0,1,5.0,0,1.0,600,1200.0,10,20.0,35,45.0,72,84.0,86
56,0,1.0,1,12.0,1,5.0,0,1.0,1200,2400.0,10,20.0,120,10000.0,84,10000.0,42
57,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,15,25.0,56,64.0,44
58,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,25,35.0,0,56.0,39
59,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,15,25.0,56,64.0,49
60,0,1.0,1,12.0,0,1.0,0,1.0,0,600.0,0,10.0,120,120.0,72,84.0,59
61,0,1.0,20,84.0,5,15.0,0,1.0,2400,4000.0,30,45.0,35,45.0,84,84.0,49
62,0,1.0,1,12.0,5,15.0,0,1.0,600,1200.0,0,10.0,15,25.0,64,72.0,23
63,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,75,120.0,56,64.0,45
64,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,75,120.0,64,72.0,47
65,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,15,25.0,56,64.0,48
66,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,0,15.0,56,64.0,93
67,0,1.0,1,12.0,1,5.0,10,20.0,2400,4000.0,45,80.0,75,120.0,64,72.0,50
68,0,1.0,1,12.0,5,15.0,1,10.0,4000,10000.0,45,80.0,120,15.0,64,72.0,43
69,0,1.0,1,12.0,1,5.0,1,10.0,2400,4000.0,30,45.0,120,20.0,84,20.0,51
70,0,1.0,1,12.0,1,5.0,0,1.0,0,600.0,0,10.0,35,45.0,84,20.0,30
71,0,1.0,1,12.0,1,5.0,0,1.0,0,600.0,0,10.0,35,45.0,84,10000.0,30
72,0,1.0,0,1.0,0,1.0,1,10.0,0,600.0,0,10.0,55,75.0,72,84.0,80
73,0,1.0,0,1.0,5,15.0,0,1.0,2400,4000.0,30,45.0,45,55.0,64,72.0,26
74,0,1.0,1,12.0,0,1.0,0,1.0,0,600.0,0,10.0,120,140.0,84,140.0,61
75,0,1.0,20,120.0,5,15.0,1,10.0,4000,10000.0,45,80.0,35,45.0,72,84.0,36
76,0,1.0,1,12.0,1,5.0,0,1.0,0,600.0,0,10.0,45,55.0,84,120.0,57
77,0,1.0,1,12.0,15,84.0,20,84.0,10000,84.0,140,84.0,120,84.0,56,64.0,6
78,0,1.0,1,12.0,1,5.0,0,1.0,1200,2400.0,30,45.0,25,35.0,72,84.0,64
79,0,1.0,1,12.0,0,1.0,0,1.0,0,600.0,0,10.0,45,55.0,72,84.0,28
80,0,1.0,1,12.0,1,5.0,0,1.0,0,600.0,0,10.0,120,20.0,84,20.0,52
81,1,10.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,55,75.0,64,72.0,33
82,0,1.0,0,1.0,0,1.0,1,10.0,0,600.0,0,10.0,120,20.0,72,84.0,68
83,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,45,55.0,84,15.0,80
84,0,1.0,0,1.0,1,5.0,1,10.0,2400,4000.0,30,45.0,120,15.0,72,84.0,55
85,0,1.0,20,20.0,5,15.0,20,20.0,1200,2400.0,20,30.0,25,35.0,84,20.0,55
86,0,1.0,1,12.0,5,15.0,0,1.0,1200,2400.0,20,30.0,45,55.0,72,84.0,64
87,0,1.0,1,12.0,1,5.0,0,1.0,0,600.0,0,10.0,35,45.0,72,84.0,29
88,0,1.0,0,1.0,1,5.0,0,1.0,1200,2400.0,10,20.0,35,45.0,72,84.0,91
89,0,1.0,1,12.0,1,5.0,0,1.0,0,600.0,0,10.0,55,75.0,84,140.0,62
90,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,45,55.0,72,84.0,75
91,0,1.0,1,12.0,5,15.0,1,10.0,2400,4000.0,30,45.0,55,75.0,72,84.0,44
92,0,1.0,1,12.0,1,5.0,0,1.0,600,1200.0,10,20.0,55,75.0,72,84.0,58
93,0,1.0,0,1.0,0,1.0,1,10.0,0,600.0,0,10.0,75,120.0,72,84.0,79
94,0,1.0,1,12.0,1,5.0,0,1.0,600,1200.0,10,20.0,75,120.0,72,84.0,62
95,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,15,25.0,0,56.0,49
